날짜,rsi,macd,upper band diff,lower band diff,CCI,K,D,volume
2021-01-04,,,,,,,,2346432
2021-01-05,,,,,,,,4213078
2021-01-06,,,,,,,,11053265
2021-01-07,,,,,,,,4550571
2021-01-08,,,,,,,,5564532
2021-01-11,,,,,,,,16591160
2021-01-12,,,,,,,,5792327
2021-01-13,,,,,,,,3376506
2021-01-14,,,,,,,,3524198
2021-01-15,,,,,,,,3671179
2021-01-18,,,,,,,,3474854
2021-01-19,,,,,,,,2504447
2021-01-20,,,,,,,,2855087
2021-01-21,,,,,,33.513513513513516,,2453225
2021-01-22,,,,,,24.85549132947977,,3036696
2021-01-25,,,,,,16.783216783216783,25.05074054207002,2267318
2021-01-26,,,,,,0.0,13.87956937089885,3309965
2021-01-27,,,,,,13.10344827586207,9.962221686359618,2745611
2021-01-28,48.30834950084957,,,,,16.25,9.784482758620689,3520908
2021-01-29,43.449042141542215,,911.1483358513342,70.1483358513342,-77.24779986479356,0.0,9.784482758620689,4044581
2021-02-01,42.358617846504465,,558.7614647716546,344.7614647716546,-70.32719838688838,34.74576271186441,16.99858757062147,3063997
2021-02-02,42.50005895531187,,508.1946483540014,396.1946483540014,-19.061422833780153,38.983050847457626,24.576271186440678,3136165
2021-02-03,41.22599396450868,,518.1946483540014,386.1946483540014,-15.276266278819511,38.13559322033898,37.28813559322034,2847756
2021-02-04,40.739671776058834,,737.0599439267407,200.05994392674074,-64.82665052359927,31.506849315068493,36.20849779428837,2601521
2021-02-05,44.810569431862156,,569.1697011323522,348.1697011323522,-41.15966749985091,50.68493150684932,40.10912468075227,2399890
2021-02-08,45.50939429547985,,304.59880686075303,420.59880686075303,8.708579161304586,69.86301369863014,50.68493150684932,2650615
2021-02-09,46.119059423199054,,336.87825384518874,355.87825384518874,24.114724984230776,66.17647058823529,62.241471931238245,2311801
2021-02-10,48.06764576893597,,297.65903530617834,372.65903530617834,-1.9962639853581303,69.11764705882352,68.38571044856299,2116532
