날짜,rsi,macd,upper band diff,lower band diff,CCI,K,D,volume
2021-01-04,,,,,,,,2983516
2021-01-05,,,,,,,,3411233
2021-01-06,,,,,,,,4751214
2021-01-07,,,,,,,,6546753
2021-01-08,,,,,,,,4748235
2021-01-11,,,,,,,,7289269
2021-01-12,,,,,,,,5467907
2021-01-13,,,,,,,,6524854
2021-01-14,,,,,,,,3917487
2021-01-15,,,,,,,,4230745
2021-01-18,,,,,,,,3685653
2021-01-19,,,,,,,,2207325
2021-01-20,,,,,,,,2813270
2021-01-21,,,,,,65.15151515151516,,2342174
2021-01-22,,,,,,50.0,,2484931
2021-01-25,,,,,,39.21568627450981,51.455733808674985,1810352
2021-01-26,,,,,,0.0,29.73856209150327,2463663
2021-01-27,,,,,,0.0,13.071895424836603,1903597
2021-01-28,48.016013347687235,,,,,14.814814814814813,4.938271604938271,2050545
2021-01-29,42.775343288314886,,3870.660095035186,-479.3399049648142,-138.86781115006164,0.0,4.938271604938271,3554121
2021-02-01,39.20839172136333,,3082.000983767546,342.00098376754977,-133.6108800325827,24.691358024691358,13.16872427983539,2051787
2021-02-02,35.84419920336213,,2589.0344052846413,864.0344052846376,-90.28847920634591,37.03703703703704,20.576131687242796,1755951
2021-02-03,34.96700622090599,,2653.218878500971,878.2188785009748,-75.40078260697777,35.80246913580247,32.51028806584362,2215433
2021-02-04,34.314142176737604,,3133.300533909867,498.30053390987086,-94.02460257576432,30.0,34.2798353909465,1939058
2021-02-05,36.41592334722105,,2568.4089855561906,1018.4089855561906,-67.92254879671553,45.0,36.934156378600825,3030139
2021-02-08,38.49805174513893,,1468.4089855561906,2118.4089855561906,11.53752952583833,81.66666666666667,52.22222222222223,4001479
2021-02-09,41.20852856779631,,1726.4541856417854,1826.4541856417818,15.68733433654064,71.66666666666667,66.11111111111111,2866955
2021-02-10,43.970433329701066,,1149.9107482439576,2074.910748243954,25.04463962505045,84.7457627118644,79.35969868173258,1730292
2021-02-15,47.069848534379425,,1070.6832294800988,1820.6832294800952,43.251548681660395,79.66101694915254,78.69114877589453,1640605
2021-02-16,48.25166671619761,,944.7269115833187,1844.726911583315,36.624650736003126,81.35593220338984,81.92090395480226,1132192
2021-02-17,49.386321535062955,,925.1511677084418,1895.1511677084382,63.94290936081255,80.32786885245902,80.4482726683338,2361643
2021-02-18,49.96170548487909,,1504.359118919856,1254.3591189198596,9.712492638007571,59.01639344262295,73.5667314994906,1374986
2021-02-19,51.18061607069615,,1046.2868721991326,1641.2868721991363,6.455070548986433,72.1311475409836,70.49180327868852,1580642
2021-02-22,54.5891373739543,,1072.2452843622523,1452.2452843622486,32.45747343067846,67.21311475409836,66.12021857923497,1303415
2021-02-23,57.41391985220211,4.833993406026488,765.4327234960147,1750.4327234960147,49.379180193408956,70.83333333333334,70.0591985428051,1438244
2021-02-24,58.95380853494794,20.521670647590373,449.8805987303422,2114.880598730346,101.86472152769362,74.54545454545455,70.86396754429542,4263157
2021-02-25,62.89616571456709,64.15028110261218,-184.71944049423473,3205.2805595057653,138.5740895780375,100.0,81.79292929292929,4020164
2021-02-26,64.7486837001786,-37.231964711290956,1014.3961656742031,2044.3961656741994,73.15615358907247,59.64912280701754,78.0648591174907,4124995
2021-03-02,63.73535036684526,-11.368992557323125,804.5538901827313,2329.553890182735,71.76319606785202,60.46511627906976,73.37141302869577,2839084
2021-03-03,62.413434391463944,11.053279956729543,378.4008818596267,2403.4008818596303,74.80634918392366,79.06976744186046,66.39466884264925,2377698
2021-03-04,62.53082648104314,24.1640033006255,126.96985180878983,2691.96985180879,113.83117838282325,89.36170212765957,76.29886194952992,3512450
2021-03-05,60.70033985519719,3.3790381974274517,326.52795517646155,2586.5279551764615,129.50868853178505,69.49152542372882,79.30766499774961,4464423
2021-03-08,61.9987894676003,69.45072782154011,-481.09503353642503,3943.904966463575,159.09166374998227,98.50746268656717,85.78689674598519,5130046
2021-03-09,64.00503060235205,69.72300719569354,-658.7994987722923,4611.200501227704,184.7407274797354,87.77777777777777,85.25892196269126,5756996
2021-03-10,66.352309387987,7.105004353761785,-35.64739290638681,4254.352607093613,130.16658625491786,81.11111111111111,89.13211719181868,2564721
2021-03-11,68.38447785255649,-26.833426493374574,441.6714824962619,4081.671482496262,128.93180924028263,76.66666666666667,81.85185185185185,3253770
2021-03-12,69.7551943634599,-62.69834094296299,1038.7821048946644,3543.7821048946644,73.03619534007366,62.5,73.42592592592592,2204205
2021-03-15,69.76969439134459,-41.88808313534197,1008.1494063511345,3693.1494063511345,79.18068587154698,67.08860759493672,68.75175808720114,1986955
2021-03-16,69.02554280883162,-36.339051635969795,1106.4593036496153,3651.4593036496153,71.48491630946813,65.75342465753424,65.11401075082365,1380687
2021-03-17,68.86074725831148,-15.61025326928084,981.0915328682458,3861.091532868246,73.30052860958928,73.97260273972603,68.93821166406566,1650097
2021-03-18,66.71834746320327,-20.7742836937144,1127.9888173829313,3747.9888173829313,69.6946801007676,73.97260273972603,71.23287671232877,2974612
2021-03-19,68.81979673856559,-26.209909334852682,1219.028834844903,3419.028834844903,72.36630273958363,71.42857142857143,73.12459230267449,3265386
2021-03-22,70.28774597468232,-15.801444716298205,1135.0915153293026,3340.0915153293026,66.76351354110396,75.71428571428571,73.7051532941944,2058874
2021-03-23,71.87807021554696,0.8983447812770295,879.1905175960928,3344.1905175960965,80.04919377553813,81.66666666666667,76.26984126984128,2132689
