날짜,rsi,macd,upper band diff,lower band diff,CCI,K,D,volume
2023-01-02,,,,,,,,674303
2023-01-03,,,,,,,,696513
2023-01-04,,,,,,,,758763
2023-01-05,,,,,,,,693673
2023-01-06,,,,,,,,726353
2023-01-09,,,,,,,,448976
2023-01-10,,,,,,,,444061
2023-01-11,,,,,,,,286149
2023-01-12,,,,,,,,475345
2023-01-13,,,,,,,,658496
2023-01-16,,,,,,,,414086
2023-01-17,,,,,,,,445132
2023-01-18,,,,,,,,383926
2023-01-19,,,,,,98.36065573770492,,391894
2023-01-20,,,,,,98.4,,375963
2023-01-25,,,,,,86.36363636363636,94.37476403378042,412517
2023-01-26,,,,,,85.13513513513513,89.96625716625717,431472
2023-01-27,,,,,,98.48484848484848,89.99453999453999,561223
2023-01-30,77.96512925574136,,,,,56.81818181818182,80.14605514605513,437323
2023-01-31,69.87671826410457,,562.5485991049973,547.5485991049973,20.273827738918044,16.666666666666664,57.32323232323233,1012773
2023-02-01,64.66663423049111,,355.55758419855556,536.5575841985556,17.44012483938857,50.0,41.16161616161616,366453
2023-02-02,59.67308584339433,,339.5203697556608,335.5203697556608,19.71928910490773,35.714285714285715,34.12698412698413,540247
2023-02-03,56.35592392708141,,142.0464592353128,419.0464592353128,38.30296418734186,72.97297297297297,52.8957528957529,591715
2023-02-06,54.890449510787334,,170.38050079210007,306.38050079210007,30.8955008732184,57.14285714285714,55.27670527670528,510126
2023-02-07,54.99299006787335,,205.10420386628903,240.10420386628903,16.689089206963473,45.714285714285715,58.61003861003861,553002
2023-02-08,55.43316613830151,,-25.164619115796086,527.8353808842039,130.87343282949016,89.79591836734694,64.21768707482993,929952
2023-02-09,55.94250399908251,,82.080378952116,419.080378952116,118.31256746053936,71.42857142857143,68.9795918367347,346078
2023-02-10,54.670643903693,,44.57190036374777,458.5719003637478,112.19231744178153,83.6734693877551,81.63265306122449,357692
2023-02-13,54.69058187445064,,73.67121918233715,382.67121918233715,114.39202913128145,77.55102040816327,77.55102040816327,361799
2023-02-14,56.24175797108128,,66.64319132397577,406.64319132397577,134.25849040459013,83.6734693877551,81.63265306122449,323017
2023-02-15,54.670947828842564,,218.9512069089178,249.9512069089178,39.04167844381832,53.06122448979592,71.42857142857143,507090
2023-02-16,53.48502848502849,,131.42465432389508,345.4246543238951,52.436740278616,73.46938775510205,70.06802721088435,370054
2023-02-17,53.70829523003435,,158.77593146461004,313.77593146461004,61.67298225150223,69.38775510204081,65.3061224489796,380479
2023-02-20,55.22011955435869,,220.32270532605799,252.32270532605799,39.30899267968486,56.25,66.36904761904763,329071
2023-02-21,55.20457953881866,-0.659351541977605,192.62976682775297,281.629766827753,26.037312691882615,60.86956521739131,62.169106773144044,238276
2023-02-22,54.855731306758756,-15.153036728746745,462.69073092880353,46.69073092880353,-86.72601212927108,4.3478260869565215,40.48913043478261,597869
2023-02-23,53.343747355750416,-6.080418474978201,436.83328128251924,96.83328128251924,-91.3745812061276,8.88888888888889,24.702093397745575,296437
2023-02-24,51.02245037712108,-1.8407295775153045,430.619020576145,116.61902057614498,-88.92640473934989,8.88888888888889,7.375201288244767,229669
2023-02-27,47.11620037712108,-7.364366316271969,588.7870538844018,16.787053884401757,-137.33679658905146,8.333333333333332,8.703703703703702,457212
2023-02-28,44.63379715942375,19.854940628094344,225.83790404183128,343.8379040418313,-26.843594120443957,68.33333333333333,28.518518518518515,1344591
2023-03-02,43.505257531117074,5.534553093292357,365.4821074832653,201.48210748326528,-21.33677553009502,45.0,40.55555555555556,419282
2023-03-03,42.57967904456298,0.08730107647971508,445.4821074832653,121.48210748326528,-73.60544097755287,31.666666666666664,48.333333333333336,293816
2023-03-06,41.53989060845287,2.286602750347207,435.45009503298024,147.45009503298024,-67.89377697996858,33.33333333333333,36.666666666666664,324157
2023-03-07,40.46952496219437,-2.5121509075808106,533.5259533374701,85.52595333747013,-88.11306162291959,20.37037037037037,28.456790123456788,290245
2023-03-08,39.1800961471901,-3.4335952645037295,606.7884612177313,60.78846121773131,-118.15651587862124,9.25925925925926,20.987654320987655,355400
2023-03-09,37.142998493071175,-1.255651229015493,607.2847105153614,73.28471051536144,-112.18597084906315,5.555555555555555,11.728395061728394,432603
2023-03-10,36.66873591354544,4.613446126676671,542.3743373286161,146.3743373286161,-99.53666330801421,24.561403508771928,13.125406107862247,622854
2023-03-13,38.91180890592463,26.148896207175625,185.2712905538374,479.2712905538374,12.997797820704491,88.88888888888889,39.668615984405456,1488155
2023-03-14,39.37082746480449,-12.765292539101596,652.8493615185816,41.849361518581645,-81.58906773322558,5.769230769230769,39.73984105563053,1357364
